ACTS,REG,Scenario,Year,Value
pdr,CAN,GDPEndoSSP2_noWaste,2017,27.7925968170166
pdr,USA,GDPEndoSSP2_noWaste,2017,2638.14794921875
pdr,BRA,GDPEndoSSP2_noWaste,2017,3178.0693359375
pdr,MEX,GDPEndoSSP2_noWaste,2017,65.8136520385742
pdr,ARG,GDPEndoSSP2_noWaste,2017,125.673942565918
pdr,RLAM,GDPEndoSSP2_noWaste,2017,2545.85302734375
pdr,COL,GDPEndoSSP2_noWaste,2017,1400.15270996094
pdr,CAM,GDPEndoSSP2_noWaste,2017,951.648681640625
pdr,RUS,GDPEndoSSP2_noWaste,2017,245.263870239258
pdr,AUT,GDPEndoSSP2_noWaste,2017,5.82972621917725
pdr,IRL,GDPEndoSSP2_noWaste,2017,3.11791682243347
pdr,HUN,GDPEndoSSP2_noWaste,2017,3.71129441261292
pdr,DEU,GDPEndoSSP2_noWaste,2017,45.0412368774414
pdr,FIN,GDPEndoSSP2_noWaste,2017,3.36529159545898
pdr,EST,GDPEndoSSP2_noWaste,2017,0.364146649837494
pdr,DNK,GDPEndoSSP2_noWaste,2017,4.20095539093018
pdr,CZE,GDPEndoSSP2_noWaste,2017,2.81346583366394
pdr,RESTEU,GDPEndoSSP2_noWaste,2017,2.73194408416748
pdr,ITA,GDPEndoSSP2_noWaste,2017,636.128479003906
pdr,BEL,GDPEndoSSP2_noWaste,2017,9.78487110137939
pdr,GRC,GDPEndoSSP2_noWaste,2017,70.9356307983398
pdr,BGR,GDPEndoSSP2_noWaste,2017,17.3158321380615
pdr,ROU,GDPEndoSSP2_noWaste,2017,22.2898368835449
pdr,LVA,GDPEndoSSP2_noWaste,2017,0.531407386064529
pdr,ESP,GDPEndoSSP2_noWaste,2017,289.429962158203
pdr,FRA,GDPEndoSSP2_noWaste,2017,45.952091217041
pdr,SVK,GDPEndoSSP2_noWaste,2017,1.25420486927032
pdr,SWE,GDPEndoSSP2_noWaste,2017,6.7652177810669
pdr,PRT,GDPEndoSSP2_noWaste,2017,58.5463790893555
pdr,POL,GDPEndoSSP2_noWaste,2017,7.30095911026001
pdr,NLD,GDPEndoSSP2_noWaste,2017,19.8274345397949
pdr,LTU,GDPEndoSSP2_noWaste,2017,0.817420125007629
pdr,SVN,GDPEndoSSP2_noWaste,2017,0.7316654920578
pdr,AFR,GDPEndoSSP2_noWaste,2017,4190.7275390625
pdr,TUR,GDPEndoSSP2_noWaste,2017,445.84033203125
pdr,ZAF,GDPEndoSSP2_noWaste,2017,21.3576602935791
pdr,COCOA,GDPEndoSSP2_noWaste,2017,4624.9736328125
pdr,EAS,GDPEndoSSP2_noWaste,2017,59681.33984375
pdr,ME,GDPEndoSSP2_noWaste,2017,3353.53198242188
pdr,STAN,GDPEndoSSP2_noWaste,2017,284.602661132813
pdr,CHN,GDPEndoSSP2_noWaste,2017,114789.640625
pdr,IND,GDPEndoSSP2_noWaste,2017,75923.6953125
pdr,JPN,GDPEndoSSP2_noWaste,2017,17893.537109375
pdr,IDN,GDPEndoSSP2_noWaste,2017,58086.5703125
pdr,MYS,GDPEndoSSP2_noWaste,2017,760.669311523438
pdr,OCE,GDPEndoSSP2_noWaste,2017,206.951950073242
pdr,GBR,GDPEndoSSP2_noWaste,2017,32.6723880767822
pdr,CHE,GDPEndoSSP2_noWaste,2017,7.68824291229248
pdr,REUR,GDPEndoSSP2_noWaste,2017,765.0712890625
pdr,NOR,GDPEndoSSP2_noWaste,2017,4.40504598617554
pdr,NAF,GDPEndoSSP2_noWaste,2017,1465.25634765625
pdr,KOR,GDPEndoSSP2_noWaste,2017,6670.1103515625
wht,CAN,GDPEndoSSP2_noWaste,2017,6989.072265625
wht,USA,GDPEndoSSP2_noWaste,2017,15485.375
wht,BRA,GDPEndoSSP2_noWaste,2017,729.041748046875
wht,MEX,GDPEndoSSP2_noWaste,2017,674.978576660156
wht,ARG,GDPEndoSSP2_noWaste,2017,2761.89013671875
wht,RLAM,GDPEndoSSP2_noWaste,2017,1410.36352539063
wht,COL,GDPEndoSSP2_noWaste,2017,26.0075798034668
wht,CAM,GDPEndoSSP2_noWaste,2017,123.103332519531
wht,RUS,GDPEndoSSP2_noWaste,2017,10494.0732421875
wht,AUT,GDPEndoSSP2_noWaste,2017,292.437042236328
wht,IRL,GDPEndoSSP2_noWaste,2017,111.901023864746
wht,HUN,GDPEndoSSP2_noWaste,2017,857.602355957031
wht,DEU,GDPEndoSSP2_noWaste,2017,3889.11328125
wht,FIN,GDPEndoSSP2_noWaste,2017,139.502700805664
wht,EST,GDPEndoSSP2_noWaste,2017,108.387748718262
wht,DNK,GDPEndoSSP2_noWaste,2017,771.463745117188
wht,CZE,GDPEndoSSP2_noWaste,2017,740.189880371094
wht,RESTEU,GDPEndoSSP2_noWaste,2017,133.143394470215
wht,ITA,GDPEndoSSP2_noWaste,2017,1529.87585449219
wht,BEL,GDPEndoSSP2_noWaste,2017,270.133819580078
wht,GRC,GDPEndoSSP2_noWaste,2017,311.569885253906
wht,BGR,GDPEndoSSP2_noWaste,2017,1053.31414794922
wht,ROU,GDPEndoSSP2_noWaste,2017,1677.74377441406
wht,LVA,GDPEndoSSP2_noWaste,2017,365.991302490234
wht,ESP,GDPEndoSSP2_noWaste,2017,1079.34216308594
wht,FRA,GDPEndoSSP2_noWaste,2017,5831.33984375
wht,SVK,GDPEndoSSP2_noWaste,2017,290.288787841797
wht,SWE,GDPEndoSSP2_noWaste,2017,508.893524169922
wht,PRT,GDPEndoSSP2_noWaste,2017,35.937614440918
wht,POL,GDPEndoSSP2_noWaste,2017,1982.54516601563
wht,NLD,GDPEndoSSP2_noWaste,2017,187.899032592773
wht,LTU,GDPEndoSSP2_noWaste,2017,688.709045410156
wht,SVN,GDPEndoSSP2_noWaste,2017,34.2994270324707
wht,AFR,GDPEndoSSP2_noWaste,2017,1823.93420410156
wht,TUR,GDPEndoSSP2_noWaste,2017,4901.078125
wht,ZAF,GDPEndoSSP2_noWaste,2017,406.825500488281
wht,COCOA,GDPEndoSSP2_noWaste,2017,254.309478759766
wht,EAS,GDPEndoSSP2_noWaste,2017,10610.7646484375
wht,ME,GDPEndoSSP2_noWaste,2017,12714.0498046875
wht,STAN,GDPEndoSSP2_noWaste,2017,2799.86254882813
wht,CHN,GDPEndoSSP2_noWaste,2017,49287.375
wht,IND,GDPEndoSSP2_noWaste,2017,26163.009765625
wht,JPN,GDPEndoSSP2_noWaste,2017,414.650390625
wht,IDN,GDPEndoSSP2_noWaste,2017,69.7847671508789
wht,MYS,GDPEndoSSP2_noWaste,2017,15.673583984375
wht,OCE,GDPEndoSSP2_noWaste,2017,5799.50927734375
wht,GBR,GDPEndoSSP2_noWaste,2017,2478.62060546875
wht,CHE,GDPEndoSSP2_noWaste,2017,281.683349609375
wht,REUR,GDPEndoSSP2_noWaste,2017,4872.98193359375
wht,NOR,GDPEndoSSP2_noWaste,2017,161.357849121094
wht,NAF,GDPEndoSSP2_noWaste,2017,5105.85302734375
wht,KOR,GDPEndoSSP2_noWaste,2017,145.12548828125
grain,CAN,GDPEndoSSP2_noWaste,2017,4488.8544921875
grain,USA,GDPEndoSSP2_noWaste,2017,61265.72265625
grain,BRA,GDPEndoSSP2_noWaste,2017,18415.494140625
grain,MEX,GDPEndoSSP2_noWaste,2017,5902.1494140625
grain,ARG,GDPEndoSSP2_noWaste,2017,5853.0068359375
grain,RLAM,GDPEndoSSP2_noWaste,2017,3954.017578125
grain,COL,GDPEndoSSP2_noWaste,2017,417.459747314453
grain,CAM,GDPEndoSSP2_noWaste,2017,1386.8701171875
grain,RUS,GDPEndoSSP2_noWaste,2017,5367.3935546875
grain,AUT,GDPEndoSSP2_noWaste,2017,515.335876464844
grain,IRL,GDPEndoSSP2_noWaste,2017,207.116180419922
grain,HUN,GDPEndoSSP2_noWaste,2017,1403.86596679688
grain,DEU,GDPEndoSSP2_noWaste,2017,3027.09033203125
grain,FIN,GDPEndoSSP2_noWaste,2017,382.649505615234
grain,EST,GDPEndoSSP2_noWaste,2017,81.1766738891602
grain,DNK,GDPEndoSSP2_noWaste,2017,803.479736328125
grain,CZE,GDPEndoSSP2_noWaste,2017,454.631958007813
grain,RESTEU,GDPEndoSSP2_noWaste,2017,333.252716064453
grain,ITA,GDPEndoSSP2_noWaste,2017,1653.60192871094
grain,BEL,GDPEndoSSP2_noWaste,2017,220.387512207031
grain,GRC,GDPEndoSSP2_noWaste,2017,510.673034667969
grain,BGR,GDPEndoSSP2_noWaste,2017,542.106201171875
grain,ROU,GDPEndoSSP2_noWaste,2017,2863.962890625
grain,LVA,GDPEndoSSP2_noWaste,2017,77.7922210693359
grain,ESP,GDPEndoSSP2_noWaste,2017,2135.71069335938
grain,FRA,GDPEndoSSP2_noWaste,2017,4521.43310546875
grain,SVK,GDPEndoSSP2_noWaste,2017,284.166717529297
grain,SWE,GDPEndoSSP2_noWaste,2017,399.636810302734
grain,PRT,GDPEndoSSP2_noWaste,2017,167.180313110352
grain,POL,GDPEndoSSP2_noWaste,2017,2950.94653320313
grain,NLD,GDPEndoSSP2_noWaste,2017,288.515930175781
grain,LTU,GDPEndoSSP2_noWaste,2017,177.176651000977
grain,SVN,GDPEndoSSP2_noWaste,2017,81.3951950073242
grain,AFR,GDPEndoSSP2_noWaste,2017,20224.646484375
grain,TUR,GDPEndoSSP2_noWaste,2017,2593.37768554688
grain,ZAF,GDPEndoSSP2_noWaste,2017,2205.49267578125
grain,COCOA,GDPEndoSSP2_noWaste,2017,8619.40625
grain,EAS,GDPEndoSSP2_noWaste,2017,8718.1943359375
grain,ME,GDPEndoSSP2_noWaste,2017,4782.97998046875
grain,STAN,GDPEndoSSP2_noWaste,2017,840.427978515625
grain,CHN,GDPEndoSSP2_noWaste,2017,70535.9609375
grain,IND,GDPEndoSSP2_noWaste,2017,10341.57421875
grain,JPN,GDPEndoSSP2_noWaste,2017,284.472106933594
