adm0_iso,Region,Scenario,Sector,outcome,value,geometry
FRA,France,Pollination_20perc,All,abs_change,-794.010700124315,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_20perc,All,pct_change,-2.57e-4,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_100pc,All,abs_change,-4543.45066661201,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_100pc,All,pct_change,-0.001472,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_100pc,Agricultural products,abs_change,-3002.7012973998,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_100pc,Agricultural products,pct_change,-0.0344,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_20perc,Agricultural products,abs_change,-573.877639877056,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_20perc,Agricultural products,pct_change,-0.0066,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_100pc,"Apparel, accessories & luxury goods",abs_change,549.688307062875,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
FRA,France,Pollination_100pc,"Apparel, accessories & luxury goods",pct_change,0.0147,"list(list(c(-51.6577974106789, -52.249337531124, -52.5564247300184, -52.939657151895, -53.4184651352953, -53.5548392401135, -53.7785206772889, -54.0880625067173, -54.5247541977997, -54.2697051662232, -54.1817260402463, -54.006930508019, -54.3995422023565, -54.4786329819792, -53.9580446030709, -53.6184529282648, -52.8821412827541, -51.8233428615259, -51.6577974106789, 4.15623240805303, 3.24109446859624, 2.50470530843705, 2.12485769287564, 2.05338918701598, 2.33489655192595, 2.37670278565008, 2.10555654541463, 
2.31184886312378, 2.73239166911505, 3.18977977133042, 3.62003774659256, 4.21261139568347, 4.89675568279559, 5.75654816326777, 5.64652903891837, 5.40985097902158, 4.56576813396613, 4.15623240805303)), list(c(6.18632042809418, 6.65822960778357, 8.09927859867474, 7.59367638513106, 7.46675906742223, 7.19220218265551, 6.73657107913806, 6.76871382002361, 6.037388950229, 6.02260949059354, 6.50009972497043, 6.84359297041451, 6.80235517744561, 7.09665245934784, 6.74995527510166, 7.00756229007663, 7.54959638838611, 
7.43518476729187, 6.52924523278304, 4.55696251793142, 3.10041059735266, 2.98599897625846, 1.82679324708715, 0.701590610363894, 0.338046909190581, -1.50277096191053, -1.90135128417776, -1.38422522623299, -1.19379757323742, -2.22572424967385, -2.9632761295596, -4.49155493815948, -4.59234981934478, -3.2958139713578, -1.61651078938496, -1.93349402506331, -0.98946895995536, 1.3387610205227, 1.6390010921385, 2.51357303224614, 2.65842207196027, 3.12325158042569, 3.58818444175566, 4.28602298342508, 4.79922163251572, 
5.67405195478483, 5.89775923017635, 6.18632042809418, 49.4638028021145, 49.2019583196916, 49.0177835150033, 48.3330191107037, 47.6205819769118, 47.449765529971, 47.5418012558828, 47.2877082383037, 46.7257787135619, 46.2729898138205, 46.4296727565294, 45.9911465521006, 45.7085798203286, 45.3330988632959, 45.0285179713676, 44.2547667506614, 44.1279011093848, 43.6938449163492, 43.1288923203183, 43.3996509873116, 43.0752005071671, 42.4730150416699, 42.3433847112657, 42.7957343613326, 42.5795460068395, 
43.0340143906304, 43.4228020289783, 44.0226103785901, 46.0149177109549, 47.0643626979382, 47.570326646508, 47.9549543320564, 48.684160468127, 48.9016924098596, 48.6444212916945, 49.7763418646157, 49.3473758001609, 50.1271731634453, 50.9466063502975, 51.1485061712618, 50.7968480495157, 50.7803632676145, 50.3789924180036, 49.9074966497726, 49.9853730332364, 49.5294835475575, 49.4426671413071, 49.4638028021145)), list(c(8.74600914880756, 9.39000084802888, 9.56001631026913, 9.22975223149177, 8.77572309737536, 
8.54421268070777, 8.74600914880756, 42.6281218531939, 43.0099848496147, 42.1524919703795, 41.3800068222645, 41.5836119654944, 42.2565166285831, 42.6281218531939)))"
